,Geographic Area,City,poverty_rate
1692,AR,Lynn town,29.1
1693,AR,McAlmont CDP,27.1
1694,AR,McCaskill town,22.5
1695,AR,McCrory city,18.8
1696,AR,McDougal town,28.2
1697,AR,McGehee city,39.6
1698,AR,McNab town,16.3
1699,AR,McNeil city,48.2
1700,AR,McRae city,22.0
1701,AR,Madison city,41.8
1702,AR,Magazine city,22.8
1703,AR,Magness town,46.0
1704,AR,Magnet Cove CDP,0.0
1705,AR,Magnolia city,31.7
1706,AR,Malvern city,27.4
1707,AR,Mammoth Spring city,34.7
1708,AR,Manila city,32.6
1709,AR,Mansfield city,21.6
1710,AR,Marianna city,35.6
1711,AR,Marie town,19.6
1712,AR,Marion city,10.9
1713,AR,Marked Tree city,34.4
1714,AR,Marmaduke city,27.7
1715,AR,Marshall city,21.2
1716,AR,Marvell city,43.7
1717,AR,Maumelle city,6.4
1718,AR,Mayflower city,8.5
1719,AR,Maynard town,27.1
1720,AR,Maysville CDP,0.0
1721,AR,Melbourne city,29.4
1722,AR,Mena city,18.5
1723,AR,Menifee town,15.5
1724,AR,Midland town,61.7
1725,AR,Midway CDP,27.4
1726,AR,Midway town,10.2
1727,AR,Mineral Springs city,18.9
1728,AR,Minturn town,7.6
1729,AR,Mitchellville city,34.2
1730,AR,Monette city,11.1
1731,AR,Monticello city,39.2
1732,AR,Montrose city,39.5
1733,AR,Moorefield town,2.5
1734,AR,Moro town,19.9
1735,AR,Morrilton city,35.2
1736,AR,Morrison Bluff town,30.9
1737,AR,Mountainburg city,15.6
1738,AR,Mountain Home city,15.8
1739,AR,Mountain Pine city,25.0
1740,AR,Mountain View city,35.4
1741,AR,Mount Ida city,16.0
1742,AR,Mount Pleasant town,9.7
1743,AR,Mount Vernon town,6.7
1744,AR,Mulberry city,30.0
1745,AR,Murfreesboro city,30.3
1746,AR,Nashville city,34.1
1747,AR,Natural Steps CDP,3.0
1748,AR,Newark city,31.2
1749,AR,New Blaine CDP,0.0
1750,AR,New Edinburg CDP,0.0
1751,AR,Newport city,34.9
1752,AR,Nimmons town,36.2
1753,AR,Norfork city,20.9
1754,AR,Norman town,31.9
1755,AR,Norphlet city,20.1
1756,AR,North Crossett CDP,15.8
1757,AR,North Little Rock city,26.1
1758,AR,Oak Grove town,18.1
1759,AR,Oak Grove Heights town,9.7
1760,AR,Oakhaven town,0.0
1761,AR,Oden town,17.5
1762,AR,Ogden city,8.3
1763,AR,Oil Trough town,25.1
1764,AR,O'Kean town,34.5
1765,AR,Okolona town,24.5
1766,AR,Ola city,18.7
1767,AR,Omaha town,61.6
1768,AR,Oppelo city,17.1
1769,AR,Osceola city,37.9
1770,AR,Oxford city,26.6
1771,AR,Ozan town,15.5
1772,AR,Ozark city,31.1
1773,AR,Palestine city,15.5
1774,AR,Pangburn city,25.2
1775,AR,Paragould city,17.5
1776,AR,Paris city,22.7
1777,AR,Parkdale city,53.3
1778,AR,Parkin city,31.0
1779,AR,Patmos town,29.3
1780,AR,Patterson city,32.2
1781,AR,Peach Orchard city,10.2
1782,AR,Pea Ridge city,13.9
1783,AR,Perla town,22.7
1784,AR,Perry town,25.4
1785,AR,Perrytown town,21.3
1786,AR,Perryville city,14.0
1787,AR,Piggott city,26.7
1788,AR,Pindall town,28.6
1789,AR,Pine Bluff city,32.1
1790,AR,Pineville town,48.1
1791,AR,Piney CDP,27.5
1792,AR,Plainview city,6.0
1793,AR,Pleasant Plains town,13.6
1794,AR,Plumerville city,27.5
1795,AR,Pocahontas city,22.9
1796,AR,Pollard city,16.3
1797,AR,Portia town,27.9
1798,AR,Portland city,28.1
1799,AR,Pottsville city,9.1
1800,AR,Powhatan town,26.3
1801,AR,Poyen town,17.6
1802,AR,Prairie Creek CDP,10.1
1803,AR,Prairie Grove city,10.1
1804,AR,Prattsville town,25.0
1805,AR,Prescott city,38.1
1806,AR,Pyatt town,33.2
1807,AR,Quitman city,21.6
1808,AR,Ratcliff city,13.4
1809,AR,Ravenden town,36.3
1810,AR,Ravenden Springs town,15.2
1811,AR,Reader CDP,0.0
1812,AR,Rector city,30.0
1813,AR,Redfield city,18.3
1814,AR,Reed town,43.8
1815,AR,Reyno city,31.8
1816,AR,Rison city,46.1
1817,AR,Rockport city,17.6
1818,AR,Rockwell CDP,3.9
1819,AR,Roe town,36.4
1820,AR,Rogers city,15.3
1821,AR,Roland CDP,13.7
1822,AR,Rondo town,52.5
1823,AR,Rose Bud town,15.9
1824,AR,Rosston town,35.0
1825,AR,Rudy town,48.9
1826,AR,Russell town,27.7
1827,AR,Russellville city,26.2
1828,AR,Rye CDP,0.0
1829,AR,St. Charles town,2.7
1830,AR,St. Francis city,42.2
1831,AR,St. Joe town,37.1
1832,AR,St. Paul town,18.9
1833,AR,Salem city,29.1
1834,AR,Salem CDP,7.4
1835,AR,Salesville city,15.6
1836,AR,Scott CDP,0.0
1837,AR,Scranton city,11.6
1838,AR,Searcy city,19.8
1839,AR,Sedgwick town,26.2
1840,AR,Shannon Hills city,9.2
1841,AR,Sheridan city,10.2
1842,AR,Sherrill town,56.0
1843,AR,Sherwood city,13.0
1844,AR,Shirley town,33.3
1845,AR,Sidney town,45.3
1846,AR,Siloam Springs city,20.2
1847,AR,Smackover city,17.1
1848,AR,Smithville town,13.3
1849,AR,South Lead Hill town,21.1
1850,AR,Southside city,19.3
1851,AR,Sparkman city,23.5
1852,AR,Springdale city,23.3
1853,AR,Springtown town,17.8
1854,AR,Stamps city,30.2
1855,AR,Star City city,31.7
1856,AR,Staves CDP,0.0
1857,AR,Stephens city,27.9
1858,AR,Strawberry town,20.4
1859,AR,Strong city,23.0
1860,AR,Stuttgart city,22.5
1861,AR,Subiaco town,27.0
1862,AR,Success town,23.7
1863,AR,Sulphur Rock town,32.5
1864,AR,Sulphur Springs city,43.0
1865,AR,Sulphur Springs CDP,12.5
1866,AR,Summit city,36.1
1867,AR,Sunset town,64.9
1868,AR,Sweet Home CDP,15.5
1869,AR,Swifton city,33.6
1870,AR,Taylor city,23.5
1871,AR,Texarkana city,22.1
1872,AR,Thornton city,25.3
1873,AR,Tillar city,34.3
1874,AR,Tinsman town,27.0
1875,AR,Tollette town,14.3
1876,AR,Tontitown city,12.1
1877,AR,Traskwood city,4.1
1878,AR,Trumann city,26.4
1879,AR,Tuckerman city,18.6
1880,AR,Tull town,13.2
1881,AR,Tumbling Shoals CDP,6.0
1882,AR,Tupelo town,9.0
1883,AR,Turrell city,35.6
1884,AR,Twin Groves town,17.5
1885,AR,Tyronza city,27.4
1886,AR,Ulm town,39.3
1887,AR,Valley Springs town,11.2
1888,AR,Van Buren city,22.9
1889,AR,Vandervoort town,58.8
1890,AR,Victoria town,43.8
1891,AR,Vilonia city,7.2
1892,AR,Viola town,22.6
1893,AR,Wabbaseka town,31.3
1894,AR,Waldenburg town,0.0
1895,AR,Waldo city,35.6
1896,AR,Waldron city,30.5
1897,AR,Walnut Ridge city,19.8
1898,AR,Ward city,11.4
1899,AR,Warren city,30.8
1900,AR,Washington city,35.7
1901,AR,Watson city,19.6
1902,AR,Weiner city,10.9
1903,AR,Weldon town,20.8
1904,AR,West Crossett CDP,7.7
1905,AR,Western Grove town,10.6
1906,AR,West Fork city,7.6
1907,AR,West Memphis city,30.9
1908,AR,West Point town,34.8
1909,AR,Wheatley city,22.3
1910,AR,Whelen Springs town,30.2
1911,AR,White Hall city,11.0
1912,AR,Wickes town,37.0
1913,AR,Widener town,8.9
1914,AR,Wiederkehr Village city,0.0
1915,AR,Williford town,16.3
1916,AR,Willisville town,15.3
1917,AR,Wilmar city,30.9
1918,AR,Wilmot city,28.2
1919,AR,Wilson city,22.1
1920,AR,Wilton city,29.4
1921,AR,Winchester town,64.0
1922,AR,Winslow city,20.5
1923,AR,Winthrop city,27.5
1924,AR,Woodlawn CDP,1.9
1925,AR,Woodson CDP,15.2
1926,AR,Wooster town,10.8
1927,AR,Wrightsville city,18.4
1928,AR,Wynne city,22.3
1929,AR,Yarborough Landing CDP,7.9
1930,AR,Yellville city,16.8
1931,AR,Zinc town,40.6
1932,CA,Acalanes Ridge CDP,2.5
1933,CA,Acampo CDP,0.0
1934,CA,Acton CDP,7.6
1935,CA,Adelanto city,40.3
1936,CA,Adin CDP,12.6
1937,CA,Agoura Hills city,5.8
1938,CA,Agua Dulce CDP,6.4
1939,CA,Aguanga CDP,7.0
1940,CA,Ahwahnee CDP,11.7
1941,CA,Airport CDP,37.4
1942,CA,Alameda city,9.8
1943,CA,Alamo CDP,1.9
1944,CA,Albany city,11.4
1945,CA,Albion CDP,43.2
1946,CA,Alderpoint CDP,40.8
1947,CA,Alhambra city,15.8
1948,CA,Alhambra Valley CDP,2.2
1949,CA,Aliso Viejo city,4.9
1950,CA,Alleghany CDP,81.9
1951,CA,Allendale CDP,3.2
1952,CA,Allensworth CDP,49.5
1953,CA,Almanor CDP,
1954,CA,Alondra Park CDP,23.2
1955,CA,Alpaugh CDP,48.0
1956,CA,Alpine CDP,8.8
1957,CA,Alpine Village CDP,3.4
1958,CA,Alta CDP,13.8
1959,CA,Altadena CDP,11.0
1960,CA,Alta Sierra CDP,2.5
1961,CA,Alto CDP,10.9
1962,CA,Alturas city,21.7
1963,CA,Alum Rock CDP,11.4
1964,CA,Amador City city,27.0
1965,CA,American Canyon city,11.8
1966,CA,Amesti CDP,12.8
1967,CA,Anaheim city,16.5
1968,CA,Anchor Bay CDP,0.0
1969,CA,Anderson city,24.6
1970,CA,Angels city,19.0
1971,CA,Angwin CDP,11.7
1972,CA,Antelope CDP,13.0
1973,CA,Antioch city,15.4
1974,CA,Anza CDP,13.0
1975,CA,Apple Valley town,20.6
1976,CA,Aptos CDP,6.4
1977,CA,Aptos Hills-Larkin Valley CDP,10.9
1978,CA,Arbuckle CDP,15.2
1979,CA,Arcadia city,9.6
1980,CA,Arcata city,41.3
1981,CA,Arden-Arcade CDP,21.4
1982,CA,Armona CDP,25.4
1983,CA,Arnold CDP,12.0
1984,CA,Aromas CDP,11.5
1985,CA,Arroyo Grande city,6.8
1986,CA,Artesia city,12.4
1987,CA,Artois CDP,1.8
1988,CA,Arvin city,29.3
1989,CA,Ashland CDP,18.4
1990,CA,Aspen Springs CDP,0.0
1991,CA,Atascadero city,11.0
1992,CA,Atherton town,3.8
1993,CA,Atwater city,26.2
1994,CA,Auberry CDP,15.1
1995,CA,Auburn city,12.8
1996,CA,Auburn Lake Trails CDP,2.0
1997,CA,August CDP,39.6
1998,CA,Avalon city,14.3
1999,CA,Avenal city,36.4
2000,CA,Avery CDP,27.5
2001,CA,Avila Beach CDP,6.4
2002,CA,Avocado Heights CDP,12.8
2003,CA,Azusa city,17.6
2004,CA,Baker CDP,23.0
2005,CA,Bakersfield city,19.8
2006,CA,Baldwin Park city,16.7
2007,CA,Ballard CDP,7.0
2008,CA,Ballico CDP,26.7
2009,CA,Bangor CDP,8.7
2010,CA,Banning city,21.2
2011,CA,Barstow city,33.7
2012,CA,Bass Lake CDP,27.6
2013,CA,Bay Point CDP,25.1
2014,CA,Bayview CDP (Contra Costa County),4.2
2015,CA,Bayview CDP (Humboldt County),28.3
2016,CA,Beale AFB CDP,12.5
2017,CA,Bear Creek CDP,49.1
2018,CA,Bear Valley CDP (Alpine County),20.0
2019,CA,Bear Valley CDP (Mariposa County),22.6
2020,CA,Bear Valley Springs CDP,4.6
2021,CA,Beaumont city,11.8
2022,CA,Beckwourth CDP,5.5
2023,CA,Belden CDP,
2024,CA,Bell city,27.7
2025,CA,Bella Vista CDP,14.2
2026,CA,Bell Canyon CDP,3.9
2027,CA,Bellflower city,17.9
2028,CA,Bell Gardens city,28.1
2029,CA,Belmont city,6.2
2030,CA,Belvedere city,3.5
2031,CA,Benbow CDP,0.0
2032,CA,Bend CDP,7.9
2033,CA,Benicia city,5.4
2034,CA,Ben Lomond CDP,10.8
2035,CA,Benton CDP,19.7
2036,CA,Berkeley city,20.4
2037,CA,Bermuda Dunes CDP,10.0
2038,CA,Berry Creek CDP,14.7
2039,CA,Bertsch-Oceanview CDP,19.9
2040,CA,Bethel Island CDP,6.2
2041,CA,Beverly Hills city,8.9
2042,CA,Bieber CDP,7.5
2043,CA,Big Bear City CDP,19.7
2044,CA,Big Bear Lake city,18.8
2045,CA,Big Bend CDP,14.9
2046,CA,Big Creek CDP,1.6
2047,CA,Biggs city,27.8
2048,CA,Big Lagoon CDP,21.7
2049,CA,Big Pine CDP,10.6
2050,CA,Big River CDP,19.7
2051,CA,Biola CDP,36.1
2052,CA,Bishop city,13.0
2053,CA,Blackhawk CDP,2.7
2054,CA,Blacklake CDP,0.0
2055,CA,Black Point-Green Point CDP,3.8
2056,CA,Blairsden CDP,27.3
2057,CA,Bloomfield CDP,8.3
2058,CA,Bloomington CDP,22.0
2059,CA,Blue Lake city,18.4
2060,CA,Bluewater CDP,2.8
2061,CA,Blythe city,24.4
2062,CA,Bodega CDP,27.8
2063,CA,Bodega Bay CDP,9.0
2064,CA,Bodfish CDP,28.2
2065,CA,Bolinas CDP,16.9
2066,CA,Bombay Beach CDP,35.2
2067,CA,Bonadelle Ranchos-Madera Ranchos CDP,12.4
2068,CA,Bonita CDP,12.0
2069,CA,Bonny Doon CDP,12.0
2070,CA,Bonsall CDP,5.7
2071,CA,Boonville CDP,20.8
2072,CA,Bootjack CDP,7.7
2073,CA,Boron CDP,33.4
2074,CA,Boronda CDP,20.6
2075,CA,Borrego Springs CDP,15.0
2076,CA,Bostonia CDP,20.1
2077,CA,Boulder Creek CDP,10.9
2078,CA,Boulevard CDP,17.1
2079,CA,Bowles CDP,15.9
2080,CA,Boyes Hot Springs CDP,13.2
2081,CA,Bradbury city,8.8
2082,CA,Bradley CDP,21.6
2083,CA,Brawley city,25.2
2084,CA,Brea city,7.1
2085,CA,Brentwood city,7.3
2086,CA,Bret Harte CDP,45.0
2087,CA,Bridgeport CDP,0.1
2088,CA,Brisbane city,4.8
2089,CA,Broadmoor CDP,4.4
2090,CA,Brookdale CDP,11.4
2091,CA,Brooktrails CDP,17.2
2092,CA,Buckhorn CDP,16.4
2093,CA,Buck Meadows CDP,38.5
2094,CA,Bucks Lake CDP,0.0
2095,CA,Buellton city,5.6
2096,CA,Buena Park city,13.4
2097,CA,Buena Vista CDP,19.9
2098,CA,Burbank city,11.0
2099,CA,Burbank CDP,12.1
2100,CA,Burlingame city,6.9
2101,CA,Burney CDP,23.8
2102,CA,Burnt Ranch CDP,11.9
2103,CA,Butte Creek Canyon CDP,10.6
2104,CA,Butte Meadows CDP,0.0
2105,CA,Butte Valley CDP,5.9
2106,CA,Buttonwillow CDP,37.1
2107,CA,Byron CDP,3.6
2108,CA,Bystrom CDP,34.2
2109,CA,Cabazon CDP,30.7
2110,CA,Calabasas city,7.9
2111,CA,Calexico city,27.4
2112,CA,California City city,22.8
2113,CA,California Hot Springs CDP,15.0
2114,CA,California Pines CDP,31.3
2115,CA,Calimesa city,14.8
2116,CA,Calipatria city,32.6
2117,CA,Calistoga city,16.3
2118,CA,Callender CDP,9.3
2119,CA,Calpella CDP,29.4
2120,CA,Calpine CDP,14.0
2121,CA,Calwa CDP,45.0
2122,CA,Camanche North Shore CDP,4.6
2123,CA,Camanche Village CDP,0.6
2124,CA,Camarillo city,6.4
2125,CA,Cambria CDP,6.9
2126,CA,Cambrian Park CDP,3.1
2127,CA,Cameron Park CDP,9.9
2128,CA,Camino CDP,11.9
2129,CA,Camino Tassajara CDP,8.0
2130,CA,Campbell city,6.2
2131,CA,Camp Nelson CDP,0.0
2132,CA,Campo CDP,26.8
2133,CA,Camp Pendleton North CDP,10.8
2134,CA,Camp Pendleton South CDP,9.0
2135,CA,Camptonville CDP,15.7
2136,CA,Canby CDP,19.3
2137,CA,Cantua Creek CDP,32.7
2138,CA,Canyondam CDP,0.0
2139,CA,Canyon Lake city,6.5
2140,CA,Capitola city,10.0
2141,CA,Caribou CDP,
2142,CA,Carlsbad city,9.1
2143,CA,Carmel-by-the-Sea city,8.1
2144,CA,Carmel Valley Village CDP,4.7
2145,CA,Carmet CDP,53.3
2146,CA,Carmichael CDP,16.6
2147,CA,Carnelian Bay CDP,12.5
2148,CA,Carpinteria city,9.3
2149,CA,Carrick CDP,0.0
2150,CA,Carson city,10.9
2151,CA,Cartago CDP,28.2
2152,CA,Caruthers CDP,31.3
2153,CA,Casa Conejo CDP,10.0
2154,CA,Casa de Oro-Mount Helix CDP,12.0
2155,CA,Casmalia CDP,0.0
2156,CA,Caspar CDP,9.0
2157,CA,Cassel CDP,23.5
2158,CA,Castaic CDP,6.8
2159,CA,Castle Hill CDP,1.9
2160,CA,Castro Valley CDP,7.4
2161,CA,Castroville CDP,25.2
2162,CA,Cathedral City city,23.1
2163,CA,Catheys Valley CDP,16.9
2164,CA,Cayucos CDP,9.6
2165,CA,Cazadero CDP,11.8
2166,CA,Cedar Ridge CDP,12.5
2167,CA,Cedar Slope CDP,
2168,CA,Cedarville CDP,19.7
2169,CA,Centerville CDP,22.0
2170,CA,Ceres city,17.9
2171,CA,Cerritos city,4.8
2172,CA,Chalfant CDP,9.6
2173,CA,Challenge-Brownsville CDP,29.7
2174,CA,Channel Islands Beach CDP,2.3
2175,CA,Charter Oak CDP,11.6
2176,CA,Cherokee CDP,0.0
2177,CA,Cherokee Strip CDP,59.7
2178,CA,Cherryland CDP,24.8
2179,CA,Cherry Valley CDP,9.8
2180,CA,Chester CDP,13.6
2181,CA,Chico city,24.9
2182,CA,Chilcoot-Vinton CDP,0.0
2183,CA,China Lake Acres CDP,48.5
2184,CA,Chinese Camp CDP,0.0
2185,CA,Chino city,11.6
2186,CA,Chino Hills city,6.5
2187,CA,Chowchilla city,32.1
2188,CA,Chualar CDP,14.1
2189,CA,Chula Vista city,12.5
2190,CA,Citrus CDP,13.9
2191,CA,Citrus Heights city,15.4
2192,CA,Claremont city,8.2
2193,CA,Clarksburg CDP,5.1
2194,CA,Clay CDP,4.7
2195,CA,Clayton city,4.0
2196,CA,Clear Creek CDP,48.8
2197,CA,Clearlake city,37.5
2198,CA,Clearlake Oaks CDP,31.4
2199,CA,Clearlake Riviera CDP,22.1
2200,CA,Cleone CDP,14.8
2201,CA,Clio CDP,25.5
2202,CA,Clipper Mills CDP,0.0
2203,CA,Cloverdale city,6.7
2204,CA,Clovis city,13.8
2205,CA,Clyde CDP,24.5
2206,CA,Coachella city,31.6
2207,CA,Coalinga city,23.2
2208,CA,Coarsegold CDP,16.4
2209,CA,Cobb CDP,17.3
2210,CA,Coffee Creek CDP,12.7
2211,CA,Cohasset CDP,11.5
2212,CA,Cold Springs CDP (El Dorado County),29.0
2213,CA,Cold Springs CDP (Tuolumne County),0.0
2214,CA,Coleville CDP,0.0
2215,CA,Colfax city,11.4
2216,CA,College City CDP,0.0
2217,CA,Collierville CDP,18.9
2218,CA,Colma town,15.3
2219,CA,Coloma CDP,6.3
2220,CA,Colton city,22.1
2221,CA,Columbia CDP,12.9
2222,CA,Colusa city,18.1
2223,CA,Commerce city,16.0
2224,CA,Comptche CDP,0.0
2225,CA,Compton city,26.6
2226,CA,Concord city,13.3
2227,CA,Concow CDP,22.4
2228,CA,Contra Costa Centre CDP,9.9
2229,CA,Copperopolis CDP,9.7
2230,CA,Corcoran city,38.8
2231,CA,Corning city,29.6
2232,CA,Corona city,11.7
2233,CA,Coronado city,6.0
2234,CA,Coronita CDP,9.1
2235,CA,Corralitos CDP,2.9
2236,CA,Corte Madera town,5.7
2237,CA,Costa Mesa city,14.5
2238,CA,Cotati city,12.7
2239,CA,Coto de Caza CDP,3.6
2240,CA,Cottonwood CDP,34.4
2241,CA,Coulterville CDP,0.0
2242,CA,Country Club CDP,15.6
2243,CA,Courtland CDP,27.0
2244,CA,Covelo CDP,40.7
2245,CA,Covina city,10.9
2246,CA,Cowan CDP,45.7
2247,CA,Crescent City city,28.7
2248,CA,Crescent Mills CDP,5.0
2249,CA,Cressey CDP,26.3
2250,CA,Crest CDP,8.1
2251,CA,Crestline CDP,16.6
2252,CA,Creston CDP,0.0
2253,CA,C-Road CDP,0.0
2254,CA,Crockett CDP,9.7
2255,CA,Cromberg CDP,20.5
2256,CA,Crowley Lake CDP,10.4
2257,CA,Crows Landing CDP,20.8
2258,CA,Cudahy city,31.3
2259,CA,Culver City city,8.9
2260,CA,Cupertino city,3.7
2261,CA,Cutler CDP,53.0
2262,CA,Cutten CDP,11.8
2263,CA,Cuyama CDP,62.6
2264,CA,Cypress city,7.3
2265,CA,Daly City city,9.7
2266,CA,Dana Point city,9.2
2267,CA,Danville town,4.1
2268,CA,Daphnedale Park CDP,0.0
2269,CA,Darwin CDP,0.0
2270,CA,Davenport CDP,6.1
2271,CA,Davis city,28.8
2272,CA,Day Valley CDP,16.9
2273,CA,Deer Park CDP,13.6
2274,CA,Del Aire CDP,13.2
2275,CA,Delano city,30.3
2276,CA,Delft Colony CDP,100.0
2277,CA,Delhi CDP,17.3
2278,CA,Delleker CDP,1.9
2279,CA,Del Mar city,3.5
2280,CA,Del Monte Forest CDP,9.8
2281,CA,Del Rey CDP,52.7
2282,CA,Del Rey Oaks city,7.1
2283,CA,Del Rio CDP,0.0
2284,CA,Denair CDP,31.3
2285,CA,Derby Acres CDP,27.5
2286,CA,Descanso CDP,10.6
2287,CA,Desert Center CDP,31.5
2288,CA,Desert Edge CDP,25.3
2289,CA,Desert Hot Springs city,34.9
2290,CA,Desert Palms CDP,8.3
2291,CA,Desert Shores CDP,28.5
2292,CA,Desert View Highlands CDP,13.3
2293,CA,Diablo CDP,0.0
2294,CA,Diablo Grande CDP,2.0
2295,CA,Diamond Bar city,7.0
2296,CA,Diamond Springs CDP,16.3
2297,CA,Dillon Beach CDP,0.0
2298,CA,Dinuba city,28.6
2299,CA,Discovery Bay CDP,5.9
2300,CA,Dixon city,13.9
2301,CA,Dixon Lane-Meadow Creek CDP,7.6
2302,CA,Dobbins CDP,23.9
2303,CA,Dogtown CDP,7.5
2304,CA,Dollar Point CDP,14.1
2305,CA,Dorrington CDP,2.8
2306,CA,Dorris city,32.3
2307,CA,Dos Palos city,37.4
2308,CA,Dos Palos Y CDP,35.3
2309,CA,Douglas City CDP,40.8
2310,CA,Downey city,11.4
2311,CA,Downieville CDP,0.0
2312,CA,Doyle CDP,23.2
2313,CA,Drytown CDP,4.1
2314,CA,Duarte city,15.5
2315,CA,Dublin city,4.0
2316,CA,Ducor CDP,43.7
2317,CA,Dunnigan CDP,27.1
2318,CA,Dunsmuir city,24.5
2319,CA,Durham CDP,17.2
2320,CA,Dustin Acres CDP,10.3
2321,CA,Dutch Flat CDP,0.0
2322,CA,Eagleville CDP,35.1
2323,CA,Earlimart CDP,53.1
2324,CA,East Foothills CDP,6.6
2325,CA,East Hemet CDP,19.5
2326,CA,East Los Angeles CDP,27.2
2327,CA,East Nicolaus CDP,14.6
2328,CA,East Oakdale CDP,3.7
2329,CA,Easton CDP,12.6
2330,CA,East Orosi CDP,61.4
2331,CA,East Palo Alto city,18.5
2332,CA,East Pasadena CDP,12.2
2333,CA,East Porterville CDP,36.2
2334,CA,East Quincy CDP,21.2
2335,CA,East Rancho Dominguez CDP,23.8
2336,CA,East Richmond Heights CDP,10.6
2337,CA,East San Gabriel CDP,11.1
2338,CA,East Shore CDP,0.0
2339,CA,East Sonora CDP,11.6
2340,CA,East Tulare Villa CDP,23.9
2341,CA,Eastvale city,5.9
2342,CA,East Whittier CDP,8.7
2343,CA,Edgewood CDP,0.0
2344,CA,Edmundson Acres CDP,42.0
2345,CA,Edna CDP,0.0
2346,CA,Edwards AFB CDP,10.0
2347,CA,El Cajon city,24.2
2348,CA,El Centro city,25.2
2349,CA,El Cerrito city,9.0
2350,CA,El Cerrito CDP,6.6
2351,CA,El Dorado Hills CDP,4.7
2352,CA,Eldridge CDP,25.5
2353,CA,El Granada CDP,3.9
2354,CA,Elizabeth Lake CDP,7.2
2355,CA,Elk Creek CDP,9.9
2356,CA,Elk Grove city,10.4
2357,CA,Elkhorn CDP,16.2
2358,CA,Elmira CDP,6.4
2359,CA,El Monte city,24.9
2360,CA,El Nido CDP,21.0
2361,CA,El Paso de Robles (Paso Robles) city,13.8
2362,CA,El Portal CDP,26.1
2363,CA,El Rancho CDP,8.2
2364,CA,El Rio CDP,19.2
2365,CA,El Segundo city,7.3
2366,CA,El Sobrante CDP (Contra Costa County),12.6
2367,CA,El Sobrante CDP (Riverside County),8.0
2368,CA,El Verano CDP,6.1
2369,CA,Elverta CDP,7.6
2370,CA,Emerald Lake Hills CDP,2.7
2371,CA,Emeryville city,11.9
2372,CA,Empire CDP,41.8
2373,CA,Encinitas city,8.1
2374,CA,Escalon city,15.0
2375,CA,Escondido city,18.7
2376,CA,Esparto CDP,10.4
2377,CA,Etna city,24.4
2378,CA,Eucalyptus Hills CDP,2.7
2379,CA,Eureka city,24.5
2380,CA,Exeter city,29.1
2381,CA,Fairbanks Ranch CDP,3.9
2382,CA,Fairfax town,6.8
2383,CA,Fairfield city,13.2
2384,CA,Fairhaven CDP,21.6
2385,CA,Fairmead CDP,47.3
2386,CA,Fair Oaks CDP,11.9
2387,CA,Fairview CDP,7.6
2388,CA,Fallbrook CDP,19.0
2389,CA,Fall River Mills CDP,20.1
2390,CA,Farmersville city,31.2
2391,CA,Farmington CDP,0.0
2392,CA,Fellows CDP,2.5
2393,CA,Felton CDP,2.6
2394,CA,Ferndale city,9.5
2395,CA,Fetters Hot Springs-Agua Caliente CDP,28.0
2396,CA,Fiddletown CDP,15.7
2397,CA,Fieldbrook CDP,23.2
2398,CA,Fields Landing CDP,26.6
2399,CA,Fillmore city,24.2
2400,CA,Firebaugh city,33.5
2401,CA,Fish Camp CDP,0.0
2402,CA,Florence-Graham CDP,32.8
2403,CA,Florin CDP,26.5
2404,CA,Floriston CDP,0.0
2405,CA,Flournoy CDP,40.3
2406,CA,Folsom city,4.7
2407,CA,Fontana city,16.1
2408,CA,Foothill Farms CDP,24.3
2409,CA,Forbestown CDP,0.0
2410,CA,Ford City CDP,40.9
2411,CA,Foresthill CDP,31.9
2412,CA,Forest Meadows CDP,2.6
2413,CA,Forest Ranch CDP,10.8
2414,CA,Forestville CDP,14.7
2415,CA,Fort Bidwell CDP,37.1
2416,CA,Fort Bragg city,22.3
2417,CA,Fort Dick CDP,4.0
2418,CA,Fort Irwin CDP,10.4
2419,CA,Fort Jones city,35.1
2420,CA,Fortuna city,16.8
2421,CA,Fort Washington CDP,0.0
2422,CA,Foster City city,4.2
2423,CA,Fountain Valley city,8.1
2424,CA,Fowler city,25.3
2425,CA,Franklin CDP (Merced County),34.2
2426,CA,Franklin CDP (Sacramento County),16.5
2427,CA,Frazier Park CDP,20.8
2428,CA,Freedom CDP,34.3
2429,CA,Freeport CDP,0.0
2430,CA,Fremont city,6.1
2431,CA,French Camp CDP,30.2
2432,CA,French Gulch CDP,26.4
2433,CA,French Valley CDP,4.8
2434,CA,Fresno city,29.8
2435,CA,Friant CDP,14.3
2436,CA,Fruitdale CDP,6.6
2437,CA,Fruitridge Pocket CDP,47.7
2438,CA,Fuller Acres CDP,29.8
2439,CA,Fullerton city,16.8
2440,CA,Fulton CDP,40.8
2441,CA,Furnace Creek CDP,6.4
2442,CA,Galt city,19.4
2443,CA,Garberville CDP,16.6
2444,CA,Gardena city,15.0
2445,CA,Garden Acres CDP,22.6
2446,CA,Garden Farms CDP,34.3
2447,CA,Garden Grove city,17.6
2448,CA,Garey CDP,11.2
2449,CA,Garnet CDP,22.8
2450,CA,Gasquet CDP,30.9
2451,CA,Gazelle CDP,30.4
2452,CA,Georgetown CDP,13.5
2453,CA,Gerber CDP,25.9
2454,CA,Geyserville CDP,15.0
2455,CA,Gilroy city,15.1
2456,CA,Glendale city,14.6
2457,CA,Glendora city,9.4
2458,CA,Glen Ellen CDP,7.9
