,Geographic Area,City,Median Income,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs
48,AL,Birmingham city,31061.0,30.9,22.3,73.4,0.2,1.0,3.6,85.1
49,AL,Black town,41071.0,12.7,92.3,6.3,0.0,0.0,0.0,90.0
50,AL,Blountsville town,30152.0,41.2,87.3,0.7,1.0,0.4,15.3,73.1
51,AL,Blue Ridge CDP,96333.0,0.5,94.5,2.7,0.7,0.9,1.0,97.6
52,AL,Blue Springs town,45313.0,4.0,92.7,6.3,0.0,1.0,3.1,95.6
53,AL,Boaz city,35974.0,19.4,87.3,1.8,0.4,0.7,14.2,76.6
54,AL,Boligee town,12173.0,60.3,8.8,90.2,0.0,0.0,0.3,79.9
55,AL,Bon Air town,23750.0,47.6,80.2,6.9,2.6,0.0,2.6,85.7
56,AL,Boykin CDP,40577.309523809534,53.7,4.0,95.3,0.0,0.0,0.7,53.7
57,AL,Brantley town,27870.0,20.7,56.1,38.8,0.6,0.5,2.0,75.1
58,AL,Brantleyville CDP,40370.0,19.2,82.1,3.3,0.9,0.5,12.6,85.1
59,AL,Brent city,33924.0,17.3,45.1,53.5,0.1,0.0,2.1,73.8
60,AL,Brewton city,31033.0,27.8,54.1,42.6,0.7,0.4,2.2,84.5
61,AL,Bridgeport city,28571.0,34.7,84.0,8.6,1.9,0.2,1.7,74.9
62,AL,Brighton city,22146.0,33.0,6.5,81.0,1.0,0.0,13.8,78.6
63,AL,Brilliant town,25893.0,22.5,98.3,0.2,0.1,0.1,1.6,75.9
64,AL,Bristow Cove CDP,40577.309523809534,39.7,91.1,0.0,1.5,0.1,6.6,65.1
65,AL,Brook Highland CDP,60212.0,11.5,73.6,16.2,0.2,4.4,7.8,96.2
66,AL,Brookside town,34554.0,19.2,79.5,18.5,0.3,0.1,0.7,78.7
67,AL,Brookwood town,51515.0,10.8,92.2,5.3,0.7,0.1,2.0,83.1
68,AL,Broomtown CDP,28750.0,23.8,98.4,1.6,0.0,0.0,0.0,66.2
69,AL,Brundidge city,23819.0,32.4,34.1,62.9,0.5,0.6,3.0,77.2
70,AL,Bucks CDP,40577.309523809534,0.0,59.4,31.3,3.1,0.0,3.1,100.0
71,AL,Butler town,28950.0,25.3,71.4,26.7,0.2,0.2,0.7,80.2
72,AL,Calera city,62893.0,5.8,71.2,23.0,0.2,0.6,5.0,89.1
73,AL,Calvert CDP,40577.309523809534,79.4,53.1,35.4,6.9,0.0,2.2,22.8
74,AL,Camden city,28375.0,31.9,42.0,57.4,0.1,0.0,0.7,82.8
75,AL,Camp Hill town,25118.0,36.6,10.2,88.4,0.1,0.1,0.7,76.6
76,AL,Carbon Hill city,25990.0,32.2,89.4,8.2,0.2,0.1,1.2,65.4
77,AL,Cardiff town,40577.309523809534,30.0,94.5,5.5,0.0,0.0,0.0,72.7
78,AL,Carlisle-Rockledge CDP,35938.0,17.2,95.0,0.9,0.9,0.1,3.1,73.1
79,AL,Carlton CDP,40577.309523809534,18.9,66.2,33.8,0.0,0.0,3.1,77.0
80,AL,Carolina town,50278.0,7.4,96.6,0.3,0.3,0.0,0.0,87.8
81,AL,Carrollton town,27857.0,29.1,49.0,43.1,0.1,0.0,10.4,71.0
82,AL,Castleberry town,20677.0,39.6,59.2,38.4,0.3,0.0,0.5,75.9
83,AL,Catherine CDP,40577.309523809534,0.0,72.7,27.3,0.0,0.0,0.0,100.0
84,AL,Cedar Bluff town,36389.0,25.8,86.2,9.9,0.7,0.3,1.2,77.9
85,AL,Center Point city,39944.0,25.0,32.6,62.9,0.2,0.4,4.8,87.1
86,AL,Centre city,31268.0,25.1,87.0,9.9,0.4,0.3,1.2,76.7
87,AL,Centreville city,41103.0,22.4,72.2,23.7,0.3,0.4,3.0,81.6
88,AL,Chatom town,35365.0,19.8,68.2,31.1,0.0,0.0,0.6,76.0
89,AL,Chelsea city,85757.0,4.9,89.5,5.7,0.3,2.0,3.2,93.5
90,AL,Cherokee town,28359.0,19.9,77.6,18.3,0.5,0.3,1.7,80.9
91,AL,Chickasaw city,30973.0,33.6,63.0,33.6,0.8,0.5,2.3,79.9
92,AL,Childersburg city,25948.0,38.6,60.1,36.9,0.4,0.5,1.3,78.8
93,AL,Choccolocco CDP,54825.0,14.7,87.5,7.2,0.3,0.7,4.3,89.4
94,AL,Chunchula CDP,40577.309523809534,0.0,45.7,51.9,0.0,0.0,0.5,91.2
95,AL,Citronelle city,48125.0,16.9,70.7,20.2,4.9,0.5,2.6,82.5
96,AL,Clanton city,39823.0,16.9,74.9,19.1,0.3,0.6,6.0,76.8
97,AL,Clay city,68717.0,6.6,84.1,13.3,0.3,0.6,1.3,92.2
98,AL,Clayhatchee town,32656.0,16.4,94.9,1.7,0.3,0.3,2.4,85.3
99,AL,Clayton town,25203.0,29.3,35.8,63.8,0.0,0.0,0.6,57.8
100,AL,Cleveland town,40909.0,15.0,89.2,0.3,0.2,0.3,18.4,74.4
101,AL,Clio city,19539.0,31.4,32.0,36.5,0.4,0.5,36.0,63.1
102,AL,Coaling town,54167.0,19.5,86.4,11.4,0.1,0.1,0.8,88.2
103,AL,Coats Bend CDP,42821.0,15.0,84.4,12.6,0.5,0.0,0.9,90.9
104,AL,Coffee Springs town,33636.0,21.2,96.1,0.0,0.0,0.0,2.6,78.0
105,AL,Coffeeville town,19583.0,41.3,51.4,46.0,0.0,0.0,0.6,71.7
106,AL,Coker town,45795.0,10.0,95.2,2.0,0.2,0.9,1.8,89.2
107,AL,Collinsville town,25795.0,32.1,47.8,9.0,1.1,0.1,43.1,52.0
108,AL,Colony town,33063.0,24.8,10.4,86.9,0.0,0.4,0.4,77.0
109,AL,Columbia town,31806.0,20.1,77.0,21.1,0.4,0.0,0.4,79.0
110,AL,Columbiana city,32700.0,24.0,71.3,25.1,0.3,0.2,3.0,74.4
111,AL,Concord CDP,44620.0,7.9,98.5,0.5,0.2,0.2,0.5,91.3
112,AL,Coosada town,47406.0,23.5,57.7,40.0,0.4,0.2,2.9,84.3
113,AL,Cordova city,19139.0,32.8,83.4,14.5,0.8,0.1,0.7,79.8
114,AL,Cottonwood town,25313.0,29.8,71.8,25.4,0.6,0.0,1.1,76.3
115,AL,County Line town,55313.0,10.7,94.2,1.2,3.1,1.2,0.4,83.9
116,AL,Courtland town,33125.0,25.8,57.6,38.4,1.3,0.3,0.3,79.6
117,AL,Cowarts town,43533.0,11.7,80.8,14.6,0.7,0.1,1.7,86.0
118,AL,Creola city,51705.0,18.1,84.7,9.8,1.8,0.1,3.1,84.4
119,AL,Crossville town,30833.0,38.1,88.7,0.4,1.9,0.2,8.3,70.4
120,AL,Cuba town,40673.0,21.0,85.3,13.0,0.6,0.0,0.3,92.1
121,AL,Cullman city,38746.0,21.9,93.4,0.9,0.3,0.9,8.2,85.3
122,AL,Cullomburg CDP,40577.309523809534,8.5,42.1,57.3,0.0,0.0,0.0,93.4
123,AL,Cusseta town,52500.0,9.3,95.9,2.4,0.0,1.6,0.0,83.7
124,AL,Dadeville city,29368.0,28.8,50.2,47.5,0.3,0.6,0.9,73.7
