,Geographic Area,City,Median Income
184,AL,Fort Deposit town,23963.0
185,AL,Fort Payne city,38833.0
186,AL,Fort Rucker CDP,59265.0
187,AL,Franklin town,60417.0
188,AL,Fredonia CDP,66591.0
189,AL,Frisco City town,17311.0
190,AL,Fruitdale CDP,63125.0
191,AL,Fruithurst town,35625.0
192,AL,Fulton town,32083.0
193,AL,Fultondale city,51587.0
194,AL,Fyffe town,42356.0
195,AL,Gadsden city,29136.0
196,AL,Gainesville town,14444.0
197,AL,Gallant CDP,45859.0
198,AL,Gantt town,47000.0
199,AL,Garden City town,31591.0
200,AL,Gardendale city,56132.0
201,AL,Gaylesville town,26818.0
202,AL,Geiger town,45125.0
203,AL,Geneva city,29912.0
204,AL,Georgiana town,19969.0
205,AL,Geraldine town,42292.0
206,AL,Gilbertown town,33750.0
207,AL,Glen Allen town,24531.0
208,AL,Glencoe city,46691.0
209,AL,Glenwood town,36000.0
210,AL,Goldville town,46250.0
211,AL,Good Hope town,47754.0
212,AL,Goodwater town,23809.0
213,AL,Gordo town,30781.0
214,AL,Gordon town,22250.0
215,AL,Gordonville town,18224.0
216,AL,Goshen town,40132.0
217,AL,Graham CDP,41914.0
218,AL,Grand Bay CDP,48767.0
219,AL,Grant town,55000.0
220,AL,Grayson Valley CDP,46250.0
221,AL,Graysville city,41282.0
222,AL,Greensboro city,21797.0
223,AL,Greenville city,29741.0
224,AL,Grimes town,31579.0
225,AL,Grove Hill town,31786.0
226,AL,Guin city,23000.0
227,AL,Gulfcrest CDP,68462.0
228,AL,Gulf Shores city,47662.0
229,AL,Guntersville city,39756.0
230,AL,Gurley town,32500.0
231,AL,Gu-Win town,39000.0
232,AL,Hackleburg town,28819.0
233,AL,Hackneyville CDP,60474.0
234,AL,Haleburg town,54167.0
235,AL,Haleyville city,24291.0
236,AL,Hamilton city,33053.0
237,AL,Hammondville town,43281.0
238,AL,Hanceville city,29231.0
239,AL,Harpersville town,35972.0
240,AL,Hartford city,22094.0
241,AL,Hartselle city,53878.0
242,AL,Harvest CDP,63708.0
243,AL,Hatton CDP,40577.30952380953
244,AL,Hayden town,50795.0
245,AL,Hayneville town,18802.0
246,AL,Hazel Green CDP,41938.0
247,AL,Headland city,51822.0
248,AL,Heath town,38333.0
249,AL,Heflin city,25823.0
250,AL,Helena city,84615.0
251,AL,Henagar city,30757.0
252,AL,Highland Lake town,51250.0
253,AL,Highland Lakes CDP,124291.0
254,AL,Hillsboro town,34712.0
255,AL,Hissop CDP,25032.0
256,AL,Hobson CDP,40577.30952380953
257,AL,Hobson City town,25563.0
258,AL,Hodges town,29583.0
259,AL,Hokes Bluff city,46042.0
260,AL,Hollins CDP,40577.30952380953
261,AL,Hollis Crossroads CDP,34408.0
262,AL,Holly Pond town,44750.0
263,AL,Hollywood town,29306.0
264,AL,Holt CDP,30446.0
265,AL,Holtville CDP,52713.0
266,AL,Homewood city,61626.0
267,AL,Hoover city,77146.0
268,AL,Horn Hill town,34464.0
269,AL,Hueytown city,42172.0
270,AL,Huguley CDP,42063.0
271,AL,Huntsville city,48775.0
272,AL,Hurtsboro town,19732.0
273,AL,Hytop town,38542.0
274,AL,Ider town,32692.0
275,AL,Indian Springs Village city,96346.0
276,AL,Irondale city,47351.0
277,AL,Ivalee CDP,50737.0
278,AL,Jackson city,31232.0
279,AL,Jacksons' Gap town,36719.0
280,AL,Jacksonville city,38903.0
281,AL,Jasper city,39695.0
282,AL,Jemison city,38500.0
283,AL,Joppa CDP,23672.0
284,AL,Kansas town,38542.0
285,AL,Kellyton town,29688.0
286,AL,Kennedy town,35054.0
287,AL,Killen town,55313.0
288,AL,Kimberly city,76771.0
289,AL,Kinsey town,37109.0
290,AL,Kinston town,23571.0
291,AL,Ladonia CDP,32713.0
292,AL,La Fayette city,25666.0
293,AL,Lakeview town,46250.0
294,AL,Lake View town,88594.0
295,AL,Lanett city,25220.0
296,AL,Langston town,31875.0
297,AL,Leeds city,52689.0
298,AL,Leesburg town,41397.0
299,AL,Leighton town,22500.0
300,AL,Leroy CDP,47365.0
301,AL,Lester town,40577.30952380953
302,AL,Level Plains town,65769.0
303,AL,Lexington town,35521.0
304,AL,Libertyville town,44286.0
305,AL,Lillian CDP,51776.0
306,AL,Lincoln city,55605.0
307,AL,Linden city,29722.0
308,AL,Lineville city,31472.0
309,AL,Lipscomb city,26163.0
310,AL,Lisman town,28750.0
311,AL,Littleville town,49107.0
312,AL,Livingston city,14426.0
313,AL,Loachapoka town,34688.0
314,AL,Lockhart town,36250.0
315,AL,Locust Fork town,57143.0
316,AL,Lookout Mountain CDP,51058.0
317,AL,Louisville town,34286.0
318,AL,Lowndesboro town,39375.0
319,AL,Loxley town,48000.0
320,AL,Luverne city,29844.0
321,AL,Lynn town,33452.0
322,AL,McDonald Chapel CDP,15588.0
323,AL,Macedonia CDP,40577.30952380953
324,AL,McIntosh town,48625.0
325,AL,McKenzie town,31500.0
326,AL,McMullen town,40577.30952380953
327,AL,Madison city,92960.0
328,AL,Madrid town,38750.0
329,AL,Magnolia Springs town,47614.0
330,AL,Malcolm CDP,40577.30952380953
331,AL,Malvern town,37000.0
332,AL,Maplesville town,32788.0
333,AL,Marbury CDP,37672.0
334,AL,Margaret town,64789.0
335,AL,Marion city,31029.0
336,AL,Maytown town,43750.0
337,AL,Meadowbrook CDP,92193.0
338,AL,Megargel CDP,40577.30952380953
339,AL,Memphis town,40577.30952380953
340,AL,Mentone town,38750.0
341,AL,Meridianville CDP,68368.0
342,AL,Midfield city,39678.0
343,AL,Midland City town,27163.0
344,AL,Midway town,24514.0
345,AL,Mignon CDP,32452.0
346,AL,Millbrook city,58330.0
347,AL,Millerville CDP,24861.0
348,AL,Millport town,32443.0
349,AL,Millry town,37813.0
350,AL,Minor CDP,45000.0
351,AL,Mobile city,38776.0
352,AL,Monroeville city,30678.0
353,AL,Montevallo city,34760.0
354,AL,Montgomery city,42927.0
355,AL,Moody city,61049.0
356,AL,Moores Mill CDP,63911.0
357,AL,Mooresville town,99375.0
358,AL,Morris town,70043.0
359,AL,Morrison Crossroads CDP,21169.0
360,AL,Mosses town,15240.0
361,AL,Moulton city,28843.0
362,AL,Moundville town,39719.0
363,AL,Mountain Brook city,126534.0
364,AL,Mount Olive CDP (Coosa County),40577.30952380953
365,AL,Mount Olive CDP (Jefferson County),73345.0
366,AL,Mount Vernon town,40750.0
367,AL,Movico CDP,40577.30952380953
368,AL,Mulga town,34886.0
369,AL,Munford town,34034.0
370,AL,Muscle Shoals city,48896.0
371,AL,Myrtlewood town,35000.0
372,AL,Nanafalia CDP,40577.30952380953
373,AL,Nances Creek CDP,51196.0
374,AL,Napier Field town,32000.0
375,AL,Natural Bridge town,40577.30952380953
376,AL,Nauvoo town,27000.0
377,AL,Nectar town,35313.0
378,AL,Needham town,56458.0
379,AL,Newbern town,18750.0
380,AL,New Brockton town,41066.0
381,AL,New Hope city,44224.0
382,AL,New Market CDP,59653.0
383,AL,New Site town,42143.0
384,AL,Newton town,41198.0
385,AL,New Union CDP,36429.0
386,AL,Newville town,31172.0
387,AL,North Courtland town,24097.0
388,AL,North Johns town,39750.0
389,AL,Northport city,53650.0
390,AL,Notasulga town,37273.0
391,AL,Oak Grove town,40972.0
392,AL,Oak Hill town,40577.30952380953
393,AL,Oakman town,40469.0
394,AL,Odenville town,51518.0
395,AL,Ohatchee town,51688.0
396,AL,Oneonta city,36852.0
397,AL,Onycha town,22917.0
398,AL,Opelika city,40489.0
399,AL,Opp city,34695.0
400,AL,Orange Beach city,57535.0
401,AL,Orrville town,16250.0
402,AL,Our Town CDP,38125.0
403,AL,Owens Cross Roads town,51750.0
404,AL,Oxford city,51375.0
405,AL,Ozark city,37813.0
406,AL,Paint Rock town,23036.0
407,AL,Panola CDP,40577.30952380953
408,AL,Parrish town,29335.0
409,AL,Pelham city,67907.0
410,AL,Pell City city,41944.0
411,AL,Pennington town,40577.30952380953
412,AL,Penton CDP,30417.0
413,AL,Perdido CDP,24286.0
414,AL,Perdido Beach town,47222.0
415,AL,Peterman CDP,28009.0
416,AL,Petrey town,38750.0
417,AL,Phenix City city,36698.0
418,AL,Phil Campbell town,25852.0
419,AL,Pickensville town,31607.0
420,AL,Piedmont city,28884.0
421,AL,Pike Road town,97500.0
422,AL,Pinckard town,31042.0
423,AL,Pine Apple town,46250.0
424,AL,Pine Hill town,30682.0
425,AL,Pine Level CDP,56125.0
426,AL,Pine Ridge town,24286.0
427,AL,Pinson city,59909.0
428,AL,Pisgah town,26635.0
429,AL,Pleasant Grove city,63302.0
430,AL,Pleasant Groves town,46875.0
431,AL,Point Clear CDP,47200.0
432,AL,Pollard town,31607.0
433,AL,Powell town,30903.0
434,AL,Prattville city,55297.0
435,AL,Priceville town,84375.0
436,AL,Prichard city,23785.0
437,AL,Providence town,40208.0
438,AL,Putnam CDP,40577.30952380953
439,AL,Ragland town,38571.0
440,AL,Rainbow City city,49338.0
441,AL,Rainsville city,39691.0
442,AL,Ranburne town,50909.0
443,AL,Ray CDP,45909.0
444,AL,Red Bay city,29076.0
445,AL,Redland CDP,75139.0
446,AL,Red Level town,38571.0
447,AL,Redstone Arsenal CDP,60893.0
448,AL,Reece City town,43261.0
449,AL,Reeltown CDP,74688.0
450,AL,Reform town,20136.0
451,AL,Rehobeth town,47108.0
452,AL,Repton town,23125.0
453,AL,Ridgeville town,20625.0
454,AL,River Falls town,28977.0
455,AL,Riverside town,61417.0
456,AL,Riverview town,37222.0
457,AL,Roanoke city,34956.0
458,AL,Robertsdale city,47364.0
459,AL,Rock Creek CDP,52227.0
460,AL,Rockford town,22778.0
461,AL,Rock Mills CDP,40577.30952380953
462,AL,Rockville CDP,40577.30952380953
463,AL,Rogersville town,36346.0
464,AL,Rosa town,44808.0
465,AL,Russellville city,29859.0
466,AL,Rutledge town,39688.0
467,AL,St. Florian town,62500.0
468,AL,St. Stephens CDP,42500.0
469,AL,Saks CDP,42070.0
470,AL,Samson city,22556.0
471,AL,Sand Rock town,44375.0
472,AL,Sanford town,33333.0
473,AL,Saraland city,52621.0
474,AL,Sardis City town,51681.0
475,AL,Satsuma city,59311.0
476,AL,Scottsboro city,38007.0
477,AL,Section town,30278.0
478,AL,Selma city,22414.0
479,AL,Selmont-West Selmont CDP,23015.0
480,AL,Semmes city,46596.0
481,AL,Sheffield city,34205.0
482,AL,Shelby CDP,45139.0
483,AL,Shiloh town,36250.0
484,AL,Shoal Creek CDP,114018.0
485,AL,Shorter town,38409.0
486,AL,Silas town,27875.0
487,AL,Silverhill town,40921.0
488,AL,Sims Chapel CDP,86071.0
489,AL,Sipsey town,27393.0
490,AL,Skyline town,38810.0
491,AL,Slocomb city,35512.0
492,AL,Smiths Station city,46354.0
493,AL,Smoke Rise CDP,86310.0
494,AL,Snead town,35000.0
495,AL,Somerville town,40417.0
496,AL,Southside city,65946.0
497,AL,South Vinemont town,26141.0
498,AL,Spanish Fort city,72747.0
499,AL,Spring Garden CDP,40577.30952380953
500,AL,Springville city,73906.0
501,AL,Spruce Pine CDP,40577.30952380953
502,AL,Standing Rock CDP,49583.0
503,AL,Stapleton CDP,53083.0
504,AL,Steele town,31063.0
505,AL,Sterrett CDP,31410.0
506,AL,Stevenson city,38053.0
507,AL,Stewartville CDP,43333.0
508,AL,Stockton CDP,65000.0
509,AL,Sulligent city,30050.0
510,AL,Sumiton city,42321.0
511,AL,Summerdale town,39803.0
512,AL,Susan Moore town,40417.0
513,AL,Sweet Water town,79375.0
514,AL,Sylacauga city,33407.0
515,AL,Sylvania town,46964.0
516,AL,Sylvan Springs town,56630.0
517,AL,Talladega city,29482.0
518,AL,Talladega Springs town,50833.0
519,AL,Tallassee city,38275.0
520,AL,Tarrant city,25653.0
521,AL,Taylor town,43116.0
522,AL,Theodore CDP,44284.0
523,AL,Thomaston town,48523.0
524,AL,Thomasville city,36146.0
525,AL,Thorsby town,45478.0
526,AL,Tibbie CDP,40577.30952380953
527,AL,Tidmore Bend CDP,48466.0
528,AL,Tillmans Corner CDP,48290.0
529,AL,Town Creek town,28382.0
530,AL,Toxey town,23542.0
531,AL,Trafford town,28889.0
532,AL,Triana town,41875.0
533,AL,Trinity town,73625.0
534,AL,Troy city,31707.0
535,AL,Trussville city,82108.0
536,AL,Tuscaloosa city,39351.0
537,AL,Tuscumbia city,41176.0
538,AL,Tuskegee city,26896.0
539,AL,Twin town,41705.0
540,AL,Underwood-Petersville CDP,39874.0
541,AL,Union town,26875.0
542,AL,Union Grove town,40313.0
543,AL,Union Springs city,30032.0
544,AL,Uniontown town,14967.0
545,AL,Uriah CDP,23421.0
546,AL,Valley city,39531.0
547,AL,Valley Grande city,55134.0
548,AL,Valley Head town,30391.0
549,AL,Vance town,64432.0
550,AL,Vandiver CDP,47171.0
551,AL,Vernon city,30292.0
552,AL,Vestavia Hills city,84854.0
553,AL,Vina town,22500.0
554,AL,Vincent town,42692.0
555,AL,Vinegar Bend CDP,77083.0
556,AL,Vredenburgh town,40577.30952380953
557,AL,Wadley town,25294.0
558,AL,Waldo town,32188.0
559,AL,Walnut Grove town,38846.0
560,AL,Warrior city,45396.0
561,AL,Waterloo town,39167.0
562,AL,Waverly town,55417.0
563,AL,Weaver city,44851.0
564,AL,Webb town,35375.0
565,AL,Wedowee town,26574.0
566,AL,Weogufka CDP,19792.0
567,AL,West Blocton town,36250.0
568,AL,West End-Cobb Town CDP,35233.0
569,AL,West Jefferson town,45938.0
570,AL,Westover town,58906.0
571,AL,West Point town,50329.0
572,AL,Wetumpka city,46190.0
573,AL,Whatley CDP,40577.30952380953
574,AL,White Hall town,18462.0
575,AL,White Plains CDP,55781.0
576,AL,Whitesboro CDP,36736.0
577,AL,Wilsonville town,43456.0
578,AL,Wilton town,39750.0
579,AL,Winfield city,40654.0
580,AL,Woodland town,34205.0
581,AL,Woodstock town,54519.0
582,AL,Woodville town,34444.0
583,AL,Yellow Bluff town,16786.0
584,AL,York city,17399.0
585,AK,Adak city,78500.0
586,AK,Akhiok city,26250.0
587,AK,Akiachak CDP,38750.0
588,AK,Akiak city,42000.0
589,AK,Akutan city,24750.0
590,AK,Alakanuk city,32917.0
591,AK,Alatna CDP,52099.594405594406
592,AK,Alcan Border CDP,52099.594405594406
593,AK,Aleknagik city,41875.0
594,AK,Aleneva CDP,52099.594405594406
595,AK,Allakaket city,26500.0
596,AK,Ambler city,42344.0
597,AK,Anaktuvuk Pass city,66250.0
598,AK,Anchorage municipality,78326.0
599,AK,Anchor Point CDP,51591.0
600,AK,Anderson city,87708.0
601,AK,Angoon city,32750.0
602,AK,Aniak city,60500.0
603,AK,Anvik city,26563.0
604,AK,Arctic Village CDP,26250.0
605,AK,Atka city,50625.0
606,AK,Atmautluak CDP,50625.0
607,AK,Atqasuk city,52500.0
608,AK,Attu Station CDP,52099.594405594406
609,AK,Badger CDP,75917.0
610,AK,Barrow city,76902.0
611,AK,Bear Creek CDP,81458.0
612,AK,Beaver CDP,24000.0
613,AK,Beluga CDP,52099.594405594406
614,AK,Bethel city,76135.0
615,AK,Bettles city,50000.0
616,AK,Big Delta CDP,65417.0
617,AK,Big Lake CDP,70988.0
